1	Divisions of the field
 
Flag of the Free Aceh Movement
Flag of the Free Aceh Movement
 
A flag of the Iraqi Turkmen
A flag of the Iraqi Turkmen
 
Ethnic flag of the Balkar and Karachay peoples (Karachay-Balkaria)
Ethnic flag of the Balkar and Karachay peoples (Karachay-Balkaria)
 
Flag of the former Christian Democratic Union (East Germany) (1945-1990)
Flag of the former Christian Democratic Union (East Germany) (1945-1990)
*Term introduced here. See also #Bar gemel.
See also #Pentaband and more

Vertical dual bars*
Flag of Aksu, Kazakhstan
Flag of Aksu, Kazakhstan
 
Flag of Atyrau, Kazakhstan
Flag of Atyrau, Kazakhstan
 
Flag of Culebra, Puerto Rico
Flag of Culebra, Puerto Rico
*Term introduced here. See also #Bar gemel.

Tierce and adjacent
Flag of the People's Republic of Korea (1945-1946)
Flag of the People's Republic of Korea (1945-1946)
 
Flag of the former Republic of Vietnam (South Vietnam), 1946–1975
Flag of the former Republic of Vietnam (South Vietnam), 1946–1975
 
Flag of Podgorica, Montenegro
Flag of Podgorica, Montenegro
 
Flag of Chișinău, Moldova
Flag of Chișinău, Moldova
 
Flag of Dirksland, South Holland, Netherlands
Flag of Dirksland, South Holland, Netherlands
 
A flag of the Rarámuri people
A flag of the Rarámuri people
 
Flag of Hendrik-Ido-Ambacht, Netherlands
Flag of Hendrik-Ido-Ambacht, Netherlands
 
Flag of Hel, Puck County, Pomeranian Voivodeship, Poland
Flag of Hel, Puck County, Pomeranian Voivodeship, Poland
 
Flag of Baarle-Nassau, Netherlands
Flag of Baarle-Nassau, Netherlands
 
County Flag of Merseyside, England, United Kingdom
County Flag of Merseyside, England, United Kingdom
See also #Bar gemel

Other bar divided and parted
Flag of Artigas, Uruguay
Flag of Artigas, Uruguay
Bend
For flags with diagonally bisected fields (bicolor fields divided diagonally), see #Divisions of the field > #Diagonal (Per bend), above

Bend dexter
Flag of Barotseland
Flag of Barotseland
 
Diver Down Signal
Diver Down Signal
 
Flag of Strasbourg, France
Flag of Strasbourg, France
 
Flag of Courcelles, Belgium
Flag of Courcelles, Belgium
 
Flag of Galicia, Spain
Flag of Galicia, Spain
 
Flag of Angerlo, Gelderland, Netherlands
Flag of Angerlo, Gelderland, Netherlands
 
Flag of Lorraine, France
Flag of Lorraine, France
 
Flag of the Diocese of Bangor, Church in Wales
Flag of the Diocese of Bangor, Church in Wales
 
Flag of Western Highlands, Papua New Guinea
Flag of Western Highlands, Papua New Guinea
 
Flag of Jiwaka, Papua New Guinea
Flag of Jiwaka, Papua New Guinea
 
Traditional flag of the Champagne-Ardenne region, France
Traditional flag of the Champagne-Ardenne region, France
 
Flag of Alsace, France
Flag of Alsace, France
 
Flag of Dnipropetrovsk Oblast, Ukraine
Flag of Dnipropetrovsk Oblast, Ukraine
 
Flag of the Albanian Movement of Sanxhak (unofficial)
Flag of the Albanian Movement of Sanxhak (unofficial)
 
Flag of Norfolk County, England, United Kingdom
Flag of Norfolk County, England, United Kingdom
 
Flag of Entre Ríos Province, Argentina
Flag of Entre Ríos Province, Argentina
 
Flag of Artigas (co-official Flag of Uruguay)
Flag of Artigas (co-official Flag of Uruguay)
 
Flag of the Department of Canelones, Uruguay
Flag of the Department of Canelones, Uruguay
 
Flag of Bragança, Pará, Pará, Brazil
Flag of Bragança, Pará, Pará, Brazil
 
Flag of Serra do Navio, Amapá, Brazil
Flag of Serra do Navio, Amapá, Brazil
 
Flag of New Castle County, Delaware, USA
Flag of New Castle County, Delaware, USA
Bend dexter (West-East diagonal, Reduced bend)
Flag of Brunei
Flag of Brunei
 
Armed Forces Flag of Brunei
Armed Forces Flag of Brunei
 
Flag of Adjuntas, Puerto Rico
Flag of Adjuntas, Puerto Rico
 
Flag of Atig, Nizhneserginsky District, Sverdlovsk Oblast, Russia
Flag of Atig, Nizhneserginsky District, Sverdlovsk Oblast, Russia
Bend dexter (West-South diagonal)
Flag of Sarawak, Malaysia (red)
Flag of Sarawak, Malaysia (red)
 
Flag of Las Vegas, Nevada, USA
Flag of Las Vegas, Nevada, USA
Bend dexter (North-East diagonal)
Flag of Sarawak, Malaysia (black)
Flag of Sarawak, Malaysia (black)
Bend dexter (North-South diagonal, Enhanced bend)
Flag of Trinidad and Tobago
Flag of Trinidad and Tobago
 
Flag of Pato Bragado, Paraná, Brazil
Flag of Pato Bragado, Paraná, Brazil
 
Flag of Zielona Góra County, Lubusz Voivodeship, Poland
Flag of Zielona Góra County, Lubusz Voivodeship, Poland
 
Flag of the House of Appiani/Lordship of Piambino (?–1701)
Flag of the House of Appiani/Lordship of Piambino (?–1701)
Bend sinister
Flag of the Republic of Namibia
Flag of the Republic of Namibia
 
Flag of Saint Kitts and Nevis
Flag of Saint Kitts and Nevis
 
Flag of the Solomon Islands
Flag of the Solomon Islands
 
Flag of the United Republic of Tanzania
Flag of the United Republic of Tanzania
 
Flag of the former Katanga (1960-1963)
Flag of the former Katanga (1960-1963)
 
Flag of the former Bophutatswana, Bantustan of South Africa
Flag of the former Bophutatswana, Bantustan of South Africa
 
Flag of La Rioja Province, Argentina
Flag of La Rioja Province, Argentina
 
Flag of Bas-Rhin Department, Alsace, France
Flag of Bas-Rhin Department, Alsace, France
 
Flag of Wysokie Mazowieckie, Podlaskie Voivodeship, Poland
Flag of Wysokie Mazowieckie, Podlaskie Voivodeship, Poland
 
Flag of Primorsky Krai, Russia
Flag of Primorsky Krai, Russia
 
Flag of Alvignano, Province of Caserta, Campania, Italy
Flag of Alvignano, Province of Caserta, Campania, Italy
 
Flag of Madison, Wisconsin, USA
Flag of Madison, Wisconsin, USA
 
Flag of the Franco-Albertans
Flag of the Franco-Albertans
 
Laranjal do Jari, Amapá, Brazil
Laranjal do Jari, Amapá, Brazil
 
Flag of Guajará-Mirim, Rondônia, Brazil
Flag of Guajará-Mirim, Rondônia, Brazil
 
Puerto Cortés, Honduras
Puerto Cortés, Honduras
Bend sinister (East-West diagonal, Reduced bend sinister)
Flag of the Democratic Republic of the Congo
Flag of the Democratic Republic of the Congo
 
Flag of Flor do Sertão, Santa Catarina, Brazil
Flag of Flor do Sertão, Santa Catarina, Brazil
 
Flag of the New Democratic Party (South Korea) and New Korean Democratic Party (1967-1969; 1984-1988)
Flag of the New Democratic Party (South Korea) and New Korean Democratic Party (1967-1969; 1984-1988)
Bend sinister (West-North diagonal)
Flag of the Brazilian Marine Corps
Flag of the Brazilian Marine Corps
 
Flag of Mato Grosso do Sul, Brazil
Flag of Mato Grosso do Sul, Brazil
 
Flag of the Franco-Albertans (white)
Flag of the Franco-Albertans (white)
Bend sinister (South-East diagonal)
Flag of Department of Pasco, Peru
Flag of Department of Pasco, Peru
 
Flag of the Principality of Sealand (micronation)
Flag of the Principality of Sealand (micronation)
 
Former flag of the Kingdom of Lesotho (South Africa) (1987–2006)
Former flag of the Kingdom of Lesotho (South Africa) (1987–2006)
 
Flag of the Franco-Albertans (blue)
Flag of the Franco-Albertans (blue)
 
Flag of Pato Branco, Paraná, Brazil (gold)
Flag of Pato Branco, Paraná, Brazil (gold)
Bend sinister (South-North diagonal, Enhanced bend sinister)
Flag of the Republic of the Congo
Flag of the Republic of the Congo
 
Flag of Ipoh, Perak, Malaysia
Flag of Ipoh, Perak, Malaysia
 
Flag of Clinton, South Carolina, USA
Flag of Clinton, South Carolina, USA
 
Flag of Sylvania, Ohio, USA
Flag of Sylvania, Ohio, USA
 
Guidon of the United States Coast Guard
Guidon of the United States Coast Guard
 
Flag of St. Albert, Alberta, Canada
Flag of St. Albert, Alberta, Canada
 
Flag of Yugorsk, Khanty–Mansi Autonomous Okrug, Russian Federation (triparted and angled)
Flag of Yugorsk, Khanty–Mansi Autonomous Okrug, Russian Federation (triparted and angled)
 
Flag of Montgomery, Alabama, USA
Flag of Montgomery, Alabama, USA
 
Flag of Madison, Georgia, USA
Flag of Madison, Georgia, USA
Cross
Symmetric cross
Flag of Genoa, Italy
Flag of Genoa, Italy
 
Flag of Milan, Italy
Flag of Milan, Italy
 
Flag of England, United Kingdom
Flag of England, United Kingdom
 
Flag of Novi Ligure, Province of Alessandria, Piedmont Region, Italy
Flag of Novi Ligure, Province of Alessandria, Piedmont Region, Italy
 
Ulster Banner, (unofficial Unionist flag of Northern Ireland, United Kingdom)
Ulster Banner, (unofficial Unionist flag of Northern Ireland, United Kingdom)
 
Flag of Alderney, British Islands
Flag of Alderney, British Islands
 
Flag of Guernsey, British Islands
Flag of Guernsey, British Islands
 
Flag of Zaragoza (province), Spain
Flag of Zaragoza (province), Spain
 
Ensign of the Chief of the Naval Staff, India
Ensign of the Chief of the Naval Staff, India
 
Flag of São Jorge do Ivaí, Paraná, Brazil
Flag of São Jorge do Ivaí, Paraná, Brazil
 
Flag of Georgia
Flag of Georgia
 
Flag of Reggio Emilia, Emilia-Romagna, Italy
Flag of Reggio Emilia, Emilia-Romagna, Italy
 
Flag of Montreal, Quebec, Canada
Flag of Montreal, Quebec, Canada
 
Flag of Marseille, France
Flag of Marseille, France
 
Flag of Zamudio, Biscay, Basque Country, Spain
Flag of Zamudio, Biscay, Basque Country, Spain
 
Flag of Preston, Lancashire, England, United Kingdom
Flag of Preston, Lancashire, England, United Kingdom
 
Flag of Free Imperial City of Aachen
Flag of Free Imperial City of Aachen
 
Kroaz Du, historic flag of Brittany (France)
Kroaz Du, historic flag of Brittany (France)
 
Flag of Guérande, Loire-Atlantique, France
Flag of Guérande, Loire-Atlantique, France
 
Flag of Tourcoing, Department of Nord, France
Flag of Tourcoing, Department of Nord, France
 
Flag of Brest (18th century)
Flag of Brest
(18th century)
 
Flag of Sinoe County, Liberia
Flag of Sinoe County, Liberia
 
Flag of Larrabetzu, Biscay, Basque Country, Spain
Flag of Larrabetzu, Biscay, Basque Country, Spain
 
War flag of the Holy Roman Empire (1200-1350)
War flag of the Holy Roman Empire (1200-1350)
 
Flag of the Sovereign Military Order of Malta
Flag of the Sovereign Military Order of Malta
 
Flag of the municipality of Asti, Asti Province, Piedmont, Italy
Flag of the municipality of Asti, Asti Province, Piedmont, Italy
 
Flag of Como, Como Province, Lombardy Region, Italy
Flag of Como, Como Province, Lombardy Region, Italy
 
Flag of municipalities of Pavia, Bormio, Novara, etc., Italy
Flag of municipalities of Pavia, Bormio, Novara, etc., Italy
 
Flag of Georgian Land Forces
Flag of Georgian Land Forces
 
Order of St. John Flag
Order of St. John Flag
 
Flag of Lodi Vecchio, Lodi Province, Lombardy Region, Italy
Flag of Lodi Vecchio, Lodi Province, Lombardy Region, Italy
 
Flag of Northamptonshire, England, United Kingdom
Flag of Northamptonshire, England, United Kingdom
 
Flag of Lodi, Lodi Province, Lombardy Region, Italy
Flag of Lodi, Lodi Province, Lombardy Region, Italy
 
Flag of Parma, Emilia-Romagna, Italy
Flag of Parma, Emilia-Romagna, Italy
 
Flag of Dorset, England, United Kingdom
Flag of Dorset, England, United Kingdom
 
Flag of Wellington, New Zealand
Flag of Wellington, New Zealand
 
Flag of Rinópolis, São Paulo, Brazil
Flag of Rinópolis, São Paulo, Brazil
 
Flag of the former Autonomous Republic of Northern Epirus
Flag of the former Autonomous Republic of Northern Epirus
 
Former State Flag of Greece (1863–1924 & 1935–1973)
Former State Flag of Greece (1863–1924 & 1935–1973)
 
Former Flag of the Hellenic Air Force and Civil Air Ensign (1973–1978)
Former Flag of the Hellenic Air Force and Civil Air Ensign (1973–1978)
 
Former Civil Maritime Ensign of the Kingdom of France (18th–century–1789, 1814–1830)
Former Civil Maritime Ensign of the Kingdom of France (18th–century–1789, 1814–1830)
 
Flag of Quebec, Canada
Flag of Quebec, Canada
 
Former unofficial flag of Martinique, France (offensive)
Former unofficial flag of Martinique, France (offensive)
 
Flag of Turin, Italy
Flag of Turin, Italy
 
Flag of the Commune of Tolmezzo, Province of Udine, Friuli-Venezia Giulia, Italy
Flag of the Commune of Tolmezzo, Province of Udine, Friuli-Venezia Giulia, Italy
 
Flag of Verona, Veneto, Italy
Flag of Verona, Veneto, Italy
 
Flag of the former Namaland (Bantustan of South West Africa/Namibia
Flag of the former Namaland (Bantustan of South West Africa/Namibia
 
Flag of the Anglican Church of Australia
Flag of the Anglican Church of Australia
 
Flag of the Armed Forces of Moldova
Flag of the Armed Forces of Moldova
 
Flag of the former Free State of Oldenburg, Germany
Flag of the former Free State of Oldenburg, Germany
 
Flag of Miraí, Minas Gerais, Brazil
Flag of Miraí, Minas Gerais, Brazil
 
Flag of Dominica
Flag of Dominica
 
Flag of Borkum, Lower Saxony, Germany
Flag of Borkum, Lower Saxony, Germany
 
Flag of Devon, England, United Kingdom
Flag of Devon, England, United Kingdom
 
Flag of Cornwall, United Kingdom
Flag of Cornwall, United Kingdom
 
Flag of Saint David (Wales, United Kingdom)
Flag of Saint David (Wales, United Kingdom)
 
Flag of Durham, England, United Kingdom
Flag of Durham, England, United Kingdom
 
Flag of the Cretan State
Flag of the Cretan State
 
Flag of Saint Malo. Brittany, France
Flag of Saint Malo. Brittany, France
 
Flag of the State of Muskogee (1799–1803)
Flag of the State of Muskogee (1799–1803)
 
Flag of the German East Africa Company (1884–1920)
Flag of the German East Africa Company (1884–1920)
 
Flag of the Principality of Samos (1834–1912)
Flag of the Principality of Samos (1834–1912)
 
Lares revolutionary flag of 1868, Puerto Rico
Lares revolutionary flag of 1868, Puerto Rico
 
Cape Independence Party Flag (South Africa)
Cape Independence Party Flag (South Africa)
 
Flag of the Isles of Scilly, Cornwall, England, United Kingdom
Flag of the Isles of Scilly, Cornwall, England, United Kingdom
 
Flag of Benna, Province of Biella, Piedmont Region, Italy
Flag of Benna, Province of Biella, Piedmont Region, Italy
 
Flag of the Dominican Republic
Flag of the Dominican Republic
 
Flag of the National Guard of Georgia
Flag of the National Guard of Georgia
 
Flag of Perm Krai, Russia
Flag of Perm Krai, Russia
 
Flag of Boulogne-sur-Mer, Pas-de-Calais, France
Flag of Boulogne-sur-Mer, Pas-de-Calais, France
 
Flag of Lévis, Quebec, Canada
Flag of Lévis, Quebec, Canada
 
Flag of Itapecerica da Serra, São Paulo, Brazil
Flag of Itapecerica da Serra, São Paulo, Brazil
 
St Frideswide Cross (Proposed county flag of Oxfordshire, England, United Kingdom)
St Frideswide Cross (Proposed county flag of Oxfordshire, England, United Kingdom)
 
Flag of Lincolnshire, England, United Kingdom
Flag of Lincolnshire, England, United Kingdom
 
Flag of Groningen, Netherlands
Flag of Groningen, Netherlands
 
Historic flag of Sarawak
Historic flag of Sarawak
 
Flag of Sint-Michielsgestel (municipality), Netherlands
Flag of Sint-Michielsgestel (municipality), Netherlands
 
Bloxwich, England town flag, United Kingdom
Bloxwich, England town flag, United Kingdom
 
Flag of Barcelona, Catalonia, Spain
Flag of Barcelona, Catalonia, Spain
 
Naval Ensign of the United Kingdom
Naval Ensign of the United Kingdom
 
Flag of the British Empire (unofficial, 1910–?)
Flag of the British Empire (unofficial, 1910–?)
 
Flag of Malta (c.1813–1875)
Flag of Malta (c.1813–1875)
 
Civil Air Ensign of the United Kingdom
Civil Air Ensign of the United Kingdom
 
Former flag of Guernsey, British Islands (19th Century)
Former flag of Guernsey, British Islands (19th Century)
 
Van Diemens Land Ensign (Tasmania, Australia)
Van Diemens Land Ensign (Tasmania, Australia)
 
Australian Federation Flag
Australian Federation Flag
 
Murray River Flag (Combined), Australia
Murray River Flag (Combined), Australia
See also: Flags based on British ensigns

 See also categories: Flags with crosses (symmetric) and Flags with saints' crosses.
Symmetric cross couped
Eureka Flag (Australia)
Eureka Flag (Australia)
 
Flag of NAVA Meeting 52 (Québec City, Québec, 2018)
Flag of NAVA Meeting 52 (Québec City, Québec, 2018)
Symmetric + Saltire
See also #Saltire below

Flag of Lord Howe Island, Australia
Flag of Lord Howe Island, Australia
 
Flag of the Basque Country
Flag of the Basque Country
 
Naval Jack of Bulgaria
Naval Jack of Bulgaria
 
Flag of Newfoundland and Labrador, Canada
Flag of Newfoundland and Labrador, Canada
 
Naval Jack of Estonia
Naval Jack of Estonia
 
Former Naval Ensign of Georgia (2004–2009)
Former Naval Ensign of Georgia (2004–2009)
 
Naval Jack of Latvia
Naval Jack of Latvia
 
Naval Jack of Russia
Naval Jack of Russia
 
Flag of Alicún, Almería Province, Andalusia, Spain
Flag of Alicún, Almería Province, Andalusia, Spain
 
Naval Jack and Naval Fortress Flag (1924), USSR
Naval Jack and Naval Fortress Flag (1924), USSR
 
Flag of the United Kingdom (double saltire, counterchanged)
Flag of the United Kingdom (double saltire, counterchanged)
 
Flag of British Columbia, Canada
Flag of British Columbia, Canada
 
Flag of New South Wales, Australia
Flag of New South Wales, Australia
 
Ensign of Balaton-Füredi Yacht Club, Hungary (1867)
Ensign of Balaton-Füredi Yacht Club, Hungary (1867)
Offset cross (Nordic / Latin)
Flag of Vagharshapat (Ejmiatsin), Armenia
Flag of Vagharshapat (Ejmiatsin), Armenia
 
House flag of Sydney Ferries, New South Wales, Australia
House flag of Sydney Ferries, New South Wales, Australia
 
Flag of Palotina, Paraná, Brazil
Flag of Palotina, Paraná, Brazil
 
Flag of Andalucía,, Valle del Cauca, Colombia
Flag of Andalucía,, Valle del Cauca, Colombia
 
Flag of the Kingdom of Denmark
Flag of the Kingdom of Denmark
 
Flag of Bornholm, Denmark (unofficial)
Flag of Bornholm, Denmark (unofficial)
 
Flag of the Faroe Islands, Denmark
Flag of the Faroe Islands, Denmark
 
Flag of Pärnu, Estonia
Flag of Pärnu, Estonia
 
Flag of Setomaa, Estonia
Flag of Setomaa, Estonia
 
Flag of the Republic of Finland
Flag of the Republic of Finland
 
Flag of Finnish yacht clubs
Flag of Finnish yacht clubs
 
Flag of Åland Islands, Finland
Flag of Åland Islands, Finland
 
Flag of the Swedish-speaking Finns, (unofficial)
Flag of the Swedish-speaking Finns, (unofficial)
 
Former merchant ensign of Finland (1918)
Former merchant ensign of Finland (1918)
 
A proposed flag of the Finno-Ugric peoples
A proposed flag of the Finno-Ugric peoples
 
Flag of City of Calais, France
Flag of City of Calais, France
 
Flag of l’Île d’Olonne, Vendée département, Pays de la Loire, France
Flag of l’Île d’Olonne, Vendée département, Pays de la Loire, France
 
An unofficial flag of Frisia
An unofficial flag of Frisia
 
Flag of the Republic of Iceland
Flag of the Republic of Iceland
 
Former Flag of East Karelia
Former Flag of East Karelia
 
Flag of the Saar Protectorate (1947–1956), occupied Germany
Flag of the Saar Protectorate (1947–1956), occupied Germany
 
Unofficial flag of Bohuslän, Sweden
Unofficial flag of Bohuslän, Sweden
 
Flag of Tbilisi, Georgia
Flag of Tbilisi, Georgia
 
Flag of the State Council of Heraldry, Georgia
Flag of the State Council of Heraldry, Georgia
 
Flag of Gori, Georgia
Flag of Gori, Georgia
 
Ensign of the Hungarian Yachting Association
Ensign of the Hungarian Yachting Association
 
Flag of Cremona, Lombardy, Italy
Flag of Cremona, Lombardy, Italy
 
Flag of Este, Veneto, Italy
Flag of Este, Veneto, Italy
 
Flag of Hernandarias District, Alto Paraná Department, Paraguay
Flag of Hernandarias District, Alto Paraná Department, Paraguay
 
Flag of the Kalmar Union (reconstructed)
Flag of the Kalmar Union (reconstructed)
 
Flag of the Lenca
Flag of the Lenca
 
Flag of Aldtsjerk, Netherlands
Flag of Aldtsjerk, Netherlands
 
Flag of the former municipality of Idaarderadeel, Friesland, Netherlands
Flag of the former municipality of Idaarderadeel, Friesland, Netherlands
 
Flag of the Nordic Flag Society
Flag of the Nordic Flag Society
 
Flag of Normandy, France (unofficial)
Flag of Normandy, France (unofficial)
 
Flag of the Kingdom of Norway
Flag of the Kingdom of Norway
 
Flag of the Kingdom of Sweden
Flag of the Kingdom of Sweden
 
Flag of Skåne, Sweden (semiofficial)
Flag of Skåne, Sweden (semiofficial)
 
Idrottsföreningen Kamraterna Flag (Sweden)
Idrottsföreningen Kamraterna Flag (Sweden)
 
Unofficial flag of the Sweden Finns
Unofficial flag of the Sweden Finns
 
Flag of the State of the Teutonic Order
Flag of the State of the Teutonic Order
 
Flag of Volhynia Oblast, Ukraine
Flag of Volhynia Oblast, Ukraine
 
Flag of Barra, Scotland, United Kingdom
Flag of Barra, Scotland, United Kingdom
 
Flag of Caithness, Scotland, United Kingdom
Flag of Caithness, Scotland, United Kingdom
 
Flag of the Isle of Skye, Scotland, United Kingdom
Flag of the Isle of Skye, Scotland, United Kingdom
 
Flag of Orkney, Scotland, United Kingdom
Flag of Orkney, Scotland, United Kingdom
 
Flag of Shetland, Scotland, United Kingdom
Flag of Shetland, Scotland, United Kingdom
 
Flag of South Uist, Scotland, United Kingdom
Flag of South Uist, Scotland, United Kingdom
 
Flag of the Episcopal Church (USA)
Flag of the Episcopal Church (USA)
 
Flag of Little Rock, Arkansas, USA
Flag of Little Rock, Arkansas, USA
 
Flag of the City of Wilmington, Delaware, USA
Flag of the City of Wilmington, Delaware, USA
 
'Vinland flag'
'Vinland flag'
See also #Overall Shape of the Flag (Nonrectangular variants), below, for swallowtail variants.
For a fuller list see Nordic cross flag

Offset cross enhanced
Flag of the Fransaskois, Canada
Flag of the Fransaskois, Canada
 
Flag of Southern Leyte, Philippines
Flag of Southern Leyte, Philippines
 
Former flag of Tallahassee, Florida, USA ("Abernathy Flag", 1916-1920s, embossed, voided)
Former flag of Tallahassee, Florida, USA
("Abernathy Flag", 1916-1920s, embossed, voided)
 
Flag of Wapella, Illinois, USA
Flag of Wapella, Illinois, USA
 
Flag of Florida Department, Uruguay
Flag of Florida Department, Uruguay
Offset cross abased
Proposed flag of North West England
Proposed flag of North West England
Nordic/Offset cross + Saltire
Flag of Sutherland, Scotland, United Kingdom
Flag of Sutherland, Scotland, United Kingdom
 
Flag of Kent, Ohio, USA
Flag of Kent, Ohio, USA
Saltire
Naval Ensign of Belgium
Naval Ensign of Belgium
 
Ambassor Flag of Brazil
Ambassor Flag of Brazil
 
Flag of Fortaleza, Ceará, Brazil
Flag of Fortaleza, Ceará, Brazil
 
Flag of the City of Rio de Janeiro, Brazil
Flag of the City of Rio de Janeiro, Brazil
 
Cross of Burgundy Flag (variant)
Cross of Burgundy Flag (variant)
 
Flag of Cross of Burgundy (variant)
Flag of Cross of Burgundy (variant)
 
Flag of Burundi
Flag of Burundi
 
Flag of the Province of Nova Scotia, Canada
Flag of the Province of Nova Scotia, Canada
 
Catalan Black Flag of the Tricentenary
Catalan Black Flag of the Tricentenary
 
Ensign of Chinese Customs (Qing Dynasty, 1860s-1931)
Ensign of Chinese Customs (Qing Dynasty, 1860s-1931)
 
Flag of the former Shanghai International Settlement (enclave in China)
Flag of the former Shanghai International Settlement (enclave in China)
 
Confederate Rebel Flag
Confederate Rebel Flag
 
Second Naval Jack of the Confederate States of America
Second Naval Jack of the Confederate States of America
 
Battle Flag of the Army of Northern Virginia, Confederate States of America
Battle Flag of the Army of Northern Virginia, Confederate States of America
 
Flag of Ondřejov, Czech Republic
Flag of Ondřejov, Czech Republic
 
Flag of Ruhnu Parish, Estonia
Flag of Ruhnu Parish, Estonia
 
Flag of Plancoët, Brittany, France
Flag of Plancoët, Brittany, France
 
Breton Vexillological Society Flag
Breton Vexillological Society Flag
 
Flag of the Bonnets Rouges
Flag of the Bonnets Rouges
 
Flag of Gascony (France)
Flag of Gascony (France)
 
Flag of Deutsche Zeppelin-Reederei (1935)
Flag of Deutsche Zeppelin-Reederei (1935)
 
Flag of Lufthansa (pre-2018 colors)
Flag of Lufthansa (pre-2018 colors)
 
Flag of Fisheries Control and the State-owned Enterprise 'German Fish Combine' (1973–1990), German Democratic Republic
Flag of Fisheries Control and the State-owned Enterprise 'German Fish Combine' (1973–1990), German Democratic Republic
 
Banner of the Blueshirts, Ireland
Banner of the Blueshirts, Ireland
 
Flag of Jamaica
Flag of Jamaica
 
A flag of the Montagnard Foundation
A flag of the Montagnard Foundation
 
Banner of Kraków, Poland
Banner of Kraków, Poland
 
Flag of Ministers of Portugal
Flag of Ministers of Portugal
 
Naval Ensign of Russia
Naval Ensign of Russia
 
Naval Jack of Russia
Naval Jack of Russia
 
Flag of the Federal Customs Service of Russia
Flag of the Federal Customs Service of Russia
 
Flag of Arkhangelsk Oblast, Russia
Flag of Arkhangelsk Oblast, Russia
 
Flag of Yessentuki, Stavropol Krai, Russia
Flag of Yessentuki, Stavropol Krai, Russia
 
Flag of New Russia
Flag of New Russia
 
Former flag of Seychelles (1976–1977)
Former flag of Seychelles (1976–1977)
 
Flag of Potchefstroom, (South Africa)
Flag of Potchefstroom, (South Africa)
 
Voortrekker flag
Voortrekker flag
 
Flag of Peñamellera Baja, Asturias, Spain
Flag of Peñamellera Baja, Asturias, Spain
 
Flag of Campisábalos, Guadalajara, Castile-La Mancha, Spain
Flag of Campisábalos, Guadalajara, Castile-La Mancha, Spain
 
Flag of Nueva Carteya, Córdoba, Spain
Flag of Nueva Carteya, Córdoba, Spain
 
Flag of the Province of Santa Cruz de Tenerife, Spain
Flag of the Province of Santa Cruz de Tenerife, Spain
 
Flag of Solomianskyi District, Kyiv, Ukraine
Flag of Solomianskyi District, Kyiv, Ukraine
 
Flag of the United Kingdom (The "Union Jack")
Flag of the United Kingdom
(The "Union Jack")
 
Flag of Saint Alban's, England, United Kingdom
Flag of Saint Alban's, England, United Kingdom
 
Saint Patrick's Saltire
Saint Patrick's Saltire
 
Flag of Queen's University Belfast, Northern Ireland, United Kingdom
Flag of Queen's University Belfast, Northern Ireland, United Kingdom
 
Flag of Scotland, United Kingdom
Flag of Scotland, United Kingdom
 
Flag of Jersey, British Islands
Flag of Jersey, British Islands
 
Flag of the Ulster Nation
Flag of the Ulster Nation
 
Flag of the State of Alabama, USA
Flag of the State of Alabama, USA
 
Flag of the Governor of Alabama, USA
Flag of the Governor of Alabama, USA
 
Flag of Monterey, California, USA
Flag of Monterey, California, USA
 
Flag of the State of Florida, USA
Flag of the State of Florida, USA
 
Flag of Cooper City, Florida, USA
Flag of Cooper City, Florida, USA
 
Flag of Coral Springs, Florida, USA (until 2017)
Flag of Coral Springs, Florida, USA (until 2017)
 
Flag of Hollywood, Florida, USA
Flag of Hollywood, Florida, USA
 
Flag of Miami-Dade County, Florida, USA
Flag of Miami-Dade County, Florida, USA
 
Flag of City of Tallahassee, Florida, USA
Flag of City of Tallahassee, Florida, USA
 
Flag of the State of Georgia, USA (1956–2001)
Flag of the State of Georgia, USA (1956–2001)
 
Former flag of the State of Mississippi, USA (1894–2020, various hues)
Former flag of the State of Mississippi, USA (1894–2020, various hues)
 
Flag of Charlotte, North Carolina, USA
Flag of Charlotte, North Carolina, USA
See also Category:Flags with saltires and w:Category:Saltire flags and #Symmetric + Saltire (above)

Saltorel
Ensign of the Chinese Salt Administration (1912-1929)
Ensign of the Chinese Salt Administration (1912-1929)
 
Flag of the Vietnam Restoration League (saltorel pommy)
Flag of the Vietnam Restoration League (saltorel pommy)
 
Flag of Sliedrecht, Netherlands (engrailed)
Flag of Sliedrecht, Netherlands (engrailed)
 
Flag of the Spanish Society of Vexillology
Flag of the Spanish Society of Vexillology
 
Flag of the proposed State of Jefferson, USA
Flag of the proposed State of Jefferson, USA
For other flags with equal-armed saltorels, see #Flanchis above.

Celtic cross
Cross of Neith banner
Cross of Neith banner
 
Flag of the Isle of Skye, Scotland, United Kingdom (combined Celtic and Nordic)
Flag of the Isle of Skye, Scotland, United Kingdom (combined Celtic and Nordic)
See also c:Gallery of flags by design II: Mobile charges#Celtic cross

Canton
Canton with plain field
Flag of the Republic of China (Taiwan)
Flag of the Republic of China (Taiwan)
 
Flag of Niue
Flag of Niue
 
Flag of Samoa
Flag of Samoa
 
Flag of the Kingdom of Tonga
Flag of the Kingdom of Tonga
 
Former civil ensign of Greece (1822–1828)
Former civil ensign of Greece (1822–1828)
 
Government Ensign of the United Kingdom
Government Ensign of the United Kingdom
 
Civil Ensign of the United Kingdom
Civil Ensign of the United Kingdom
 
British Colonial Red Ensign of North America
British Colonial Red Ensign of North America
 
