1	Divisions of the field
4.3	Cottising
4.3.1	Couple-closes as cottising
4.3.2	Cost
4.3.3	Cottising or cost overlaying fimbriation or other elements
4.3.4	Other cottise-like variation
4.4	Resarcelé
4.4.1	Adjacent to resarcelé
4.5	Embossing (Nowy)
4.5.1	Quadrate / Escartelly
4.5.2	Nowy lozengey
4.5.3	Other nowy-like variations
4.6	Breaking (Rompu)
4.7	Faceting
4.7.1	Faceting via line
4.7.2	Faceting via voiding
4.7.3	Faceting via tincture and shading
4.7.4	Faceting via gyronnée
4.7.5	Faceting via polygon
4.8	Gyronnée / Gyronny as variation of charge
4.9	Counterchanging
4.9.1	Counterchanging field + charge
4.9.2	Counterchanging variation of the field
4.9.3	Counterchanging charge(s) alone
4.9.4	Counterchanging field + fimbriation
4.9.5	Counterchanging field + fimbriation + charge
4.9.6	Counterchanging fimbriation alone
4.10	Tripartite
4.10.1	Bipartite
4.11	Parted
4.11.1	Parted (or looped) and interlaced
4.12	Componée (compony)
5	Lines of division and variation
5.1	Indented and dancetty
5.2	Serrated / Wolfteeth
5.3	Rayonné
5.4	Flammé (Geflammte, Flamboyant)
5.4.1	Flammulets
5.5	Wavy/undy
5.6	Crested
5.7	Spiral
5.8	Other wave form representations
5.8.1	Engrailed wave
5.8.2	Other wave line / form
5.9	Nebuly
5.10	Engrailed
5.11	Invected
5.12	Embattled
5.12.1	Embattled/Counterembattled
5.12.2	Embattled grady (Kaksoissakarakoro)
5.13	Raguly
5.14	Dovetailed
5.15	Potenty
5.16	Meander
5.17	Urdy
5.18	Enarched/embowed
5.19	Angled
5.20	Bevilled
5.21	Embossed (nowy and escartelly)
5.22	Flory / Fleury
5.22.1	Flory-counterflory
5.23	Trefly
5.23.1	Trefly-counter-trefly
5.24	Fir-tree topped (Kuusikoro/Sapiné)
5.24.1	Fir-tree topped + leaf
5.25	Fir-twigged/Sprigged (Havukoro/Sapinagy)
5.26	Bastionné
5.27	Nowy gabled
5.28	Antlered*
5.29	Other lines of division and variation
6	Overall Shape of the Flag (Nonrectangular variants)
6.1	Square-shaped
6.1.1	Rhombus
6.2	Swallowtail
6.2.1	Double-pointed swallowtail
6.2.2	Swallowtail with tongue
6.2.3	Double swallowtail
6.2.3.1	Scalloped double swallowtail
6.2.4	Chamfered swallowtail
6.2.5	Chamfered double swallowtail
6.2.6	Rounded swallowtail
6.3	Pennant/Pennon
6.3.1	Triangular pennant
6.3.1.1	Pavon / Dhvaja
6.3.1.1.1	Pavon with flammules
6.3.1.1.2	Double Pavon (or Double Pennant)
6.3.2	Tapering pennant
6.3.2.1	Lanceloate tapering pennant
6.3.3	Triangular swallowtail pennant (aka 'Burgee' )
6.3.3.1	Triangular double-pointed swallowtail pennant
6.3.3.2	Triangular swallowtail pennant with tongue
6.3.3.3	Tapering swallowtail pennant
6.3.3.4	Triangular chamfered swallowtail
6.3.3.5	Triangular chamfered double swallowtail
6.4	Streamer
6.5	Schwenkel
6.6	Gonfalon
6.6.1	Triangular-ended
6.6.2	Swallowtailed
6.6.2.1	Chamfered double swallowtailed
6.6.3	Multi-tailed
6.6.4	Multi-tailed with triangular-ending tails
6.6.5	Multi-tailed with triangular-ending tails, incised end
6.6.6	Triangular-ended with triangular-ending tails
6.6.7	Stepped gonfalon with triangular-ending tails, incised end
6.6.8	Other gonfalon or procession banner
6.7	Shield-shaped
6.7.1	Lanceloate (rounded fly)
6.7.2	Ogival
6.8	Pentagonally shaped
6.9	Chamfered
6.10	Descate
6.10.1	Double-tailed descate
6.10.2	Triple-tailed descate
6.11	Engrailed fly or Stepped fly
6.11.1	Engrailed fly or Scalloped fly
6.12	Trapezoidal / Inclined fly
6.12.1	Bowed trapezoidal
6.13	Other shapes
7	Additional aspects of design
7.1	Aspect ratio
7.2	Color combination
7.3	Different obverse and reverse
Divisions of the field
Undivided
Plain white field
White flag
White flag
 
Flag of the Ancien Régime of France
Flag of the Ancien Régime of France
 
Flag of Kildare County
Flag of Kildare County
 
Former flag of Afghanistan (1996–1997)
Former flag of Afghanistan (1996–1997)
 
Flag of the Sultanate of Johor (1855)
Flag of the Sultanate of Johor (1855)
 
Flag of the Sultanate of Kelantan (18th century–1912)
Flag of the Sultanate of Kelantan (18th century–1912)
 
Flag of the Sultanate of Perak (18th century–1879)
Flag of the Sultanate of Perak (18th century–1879)
Plain white field, with mobile charge(s)
Flag of Afghanistan
Flag of Afghanistan
 
Flag of the Republic of Cyprus
Flag of the Republic of Cyprus
 
Flag of Japan
Flag of Japan
 
State and war flag, state and naval ensign of Monaco
State and war flag, state and naval ensign of Monaco
 
Flag of the Republic of Korea (South Korea)
Flag of the Republic of Korea (South Korea)
 
Flag of Civil Aeronautics Administration of the Republic of China
Flag of Civil Aeronautics Administration of the Republic of China
 
Flag of the Hungarian Defence Forces
Flag of the Hungarian Defence Forces
 
Flag of the Iranian Ministry of Foreign Affairs
Flag of the Iranian Ministry of Foreign Affairs
 
Flag of the president of Mauritania
Flag of the president of Mauritania
 
Presidential Standard of Peru
Presidential Standard of Peru
 
Flag of the Tonga Defence Services
Flag of the Tonga Defence Services
 
Flag of the United States Army
Flag of the United States Army
 
Flag of the United States Department of Commerce
Flag of the United States Department of Commerce
 
Flag of the United States Department of Transportation
Flag of the United States Department of Transportation
 
Flag of the former Republic of Bosnia and Herzegovina (1992–1998)
Flag of the former Republic of Bosnia and Herzegovina (1992–1998)
 
Civil flag of the former Republic of Florence (1250 to 1532)
