#FAMILIES
leafFamily	familyPath
Frisian	Germanic;;West Germanic;;North Sea Germanic;;Anglo-Frisian?;;Frisian
Fula–Wolof	Atlantic–Congo;;West Atlantic;;Senegambian;;Fula–Wolof
Fuzhou	Sinitic;;Chinese;;Min;;Coastal Min;;Eastern Min;;Houguan;;Fuzhou
Ga-Dangme	Atlantic–Congo;;Volta-Congo;;Kwa;;Ga-Dangme
Galician-Portuguese	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western Romance;;Ibero-Romance;;West Iberian;;Galician-Portuguese
Galician–Portuguese	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western;;Ibero-Romance;;West Iberian;;Galician–Portuguese
Ga–Dangme	Atlantic–Congo;;Volta-Congo;;Kwa;;Ga–Dangme
Gbe	Atlantic-Congo;;Volta–Congo;;Volta-Niger;;Gbe
German Sign Language family	German Sign Language family
Goidelic	Celtic;;Insular Celtic;;Goidelic
Greenlandic	Eskimo;;Inuit;;Greenlandic
Guang	Atlantic–Congo;;Volta-Congo;;Benue-Congo;;Kwa;;Potou–Tano;;Tano;;Guang
Guaraní	Tupian;;Tupi–Guarani;;Guarani;;Guaraní
Guarayu	Tupian;;Tupí–Guaraní;;Guarayu
Guarayu–Sirionó	Tupian;;Tupí–Guaraní;;Guarayu–Sirionó
Gujarati languages	Indo-Iranian;;Indo-Aryan;;Western Indo-Aryan;;Gujarati languages
Gulf	Semitic;;West Semitic;;Central Semitic;;Arabic;;Peninsular;;Gulf
Gullah–Nevis–Antigua	English Creole;;Atlantic;;Eastern Caribbean;;Gullah–Nevis–Antigua
Gurma	Atlantic–Congo;;Gur;;Northern;;Oti–Volta;;Gurma
Harari–East Gurage	Semitic;;West Semitic;;South Semitic;;Ethiopic;;South;;Transversal;;Harari–East Gurage
Hausa–Gwandara	Chadic;;West;;Hausa–Gwandara
Hellenic	Graeco-Phrygian (?);;Hellenic
High German	Germanic;;West Germanic;;Elbe Germanic;;High German
Highland East	Cushitic;;Highland East
Highlands	Malayo-Polynesian;;Malayo-Sumbawan (?);;Chamic;;Highlands
