#FAMILIES
leafFamily	familyPath
Ganguela	Chiluchazi		|speakers=431, 000					lch	luch1239	Luchazi	https://en.wikipedia.org/wiki/Luchazi	Angola;;Zambia		Chokwe–Luchazi (K.10)
Garifuna										Garifuna	https://en.wikipedia.org/wiki/Garifuna			
Georgian	ქართული ენა	* Georgian script * Georgian Braille	South Caucasus	Georgians	L1: 3.760570 million	ka		kat	nucl1302	Georgian language	https://en.wikipedia.org/wiki/Georgian_language	Georgia	* Georgian script * Georgian Braille	Middle Georgian
German	Deutsch				L1: 95 million					German language	https://en.wikipedia.org/wiki/German_language	Germany;;Switzerland;;Austria;;Liechtenstein;;Luxembourg;;Belgium;;Italy		High German
German Sign Language	150px				Between 80, 000 and 395, 000			gsg	germ1281	German Sign Language	https://en.wikipedia.org/wiki/German_Sign_Language	Germany;;Belgium;;Luxembourg		German Sign Language family
Gilaki			Southwest coast of the Caspian Sea	5.840000 million Gilaks (2025)	| date =			glk	gila1242	Gilaki language	https://en.wikipedia.org/wiki/Gilaki_language	Iran;;province of Gilan;;parts of the province of Mazandaran;;Qazvin also Alborz		Caspian
Gilbertese	Taetae ni Kiribati	Latin, ([[#Alphabet|Gilbertese alphabet]])		I-Kiribati	118, 618		gil	gil	gilb1244	Gilbertese language	https://en.wikipedia.org/wiki/Gilbertese_language	Kiribati	Latin;;([[#Alphabet|Gilbertese alphabet]])	Micronesian
Gonja			Northern Ghana	Gonja people	310, 000			gjn	gonj1241	Gonja language	https://en.wikipedia.org/wiki/Gonja_language	Ghana		Guang
Greek	ελληνικά, elliniká			Greeks	13.5 million	el			gree1276	Greek language	https://en.wikipedia.org/wiki/Greek_language			Hellenic
Guaraní	avañeʼẽ	Guarani alphabet (Latin script)		Guaraní, Paraguayan people	6.540 million	| iso2 =		gug	para1311	Guarani language	https://en.wikipedia.org/wiki/Guarani_language	Paraguay	Guarani alphabet (Latin script)	Guaraní
Guarasu'we	Guarasugwé		Rondônia, Brazil and Beni Department, Bolivia	46 Guarasu’we (2000)				psm	paus1244	Warázu language	https://en.wikipedia.org/wiki/Warázu_language	Bolivia		Guarayu
Guarayu	Gwarayú, nyanyanye, ñañañe, guarani'ete'		Santa Cruz, Boquerón	12, 000 (2012)	8, 430			gyr	guar1292	Guarayu language	https://en.wikipedia.org/wiki/Guarayu_language			Guarayu–Sirionó
Guernésiais	guernésiais, dgèrnésiais				200				dger1238	Guernésiais	https://en.wikipedia.org/wiki/Guernésiais	Guernsey		Anglo-Norman
Gujarati			Western India * Gujarat * Union-territories Dadra and Nagar Haveli and Daman and Diu	Gujaratis	L1: 56.953120 million	gu	guj	guj	guja1252	Gujarati language	https://en.wikipedia.org/wiki/Gujarati_language	India		Gujarati languages
Gulmancema	Migulimancema	Latin		Gurma people	1.529300 million			gux	gour1243	Gurmantche language	https://en.wikipedia.org/wiki/Gurmantche_language	Burkina Faso;;Togo;;Benin;;Niger;;Ghana;;Nigeria	Latin	Gurma
Gumuz	|states=Ethiopia, Sudan	Ethiopic, Latin (in Ethiopia)	Benishangul-Gumuz Region; Amhara Region; Blue Nile State	Gumuz	Ethiopia: 161, 000			guk	gumu1244	Gumuz language	https://en.wikipedia.org/wiki/Gumuz_language		Ethiopic;;Latin (in Ethiopia)	Bʼaga
Guyanese Creole	Creolese				643, 000 in Guyana			gyn	creo1235	Guyanese Creole	https://en.wikipedia.org/wiki/Guyanese_Creole	Guyana		Southern
Gwich'in										Gwichʼin	https://en.wikipedia.org/wiki/Gwichʼin			
Haitian Creole			| ethnicity = Haitians		13.157800 million	ht	hat	hat		Haitian Creole	https://en.wikipedia.org/wiki/Haitian_Creole	Haiti		Circum-Caribbean French
Hajong	হাজং	Bengali-Assamese script, Latin script	Meghalaya, Assam, Mizoram, Arunachal Pradesh and West Bengal in India Mymensingh, Sherpur, Netrokona and Sunamganj in Bangladesh	Hajong	79, 800			haj	hajo1238	Hajong language	https://en.wikipedia.org/wiki/Hajong_language	India;;Bangladesh	Bengali-Assamese script;;Latin script	Bengali–Assamese
Harari	ሀረሪ ()	Ge'ez script (officially), Arabic script (formerly), Latin script (informally; diaspora), Harari script	Harari Region	Harari	L1: 27, 260			har	hara1271	Harari language	https://en.wikipedia.org/wiki/Harari_language	Ethiopia	Ge'ez script (officially);;Arabic script (formerly);;Latin script (informally;;diaspora);;Harari script	Harari–East Gurage
Hassaniya	حسانية (')	Arabic alphabet, Latin alphabet (in Senegal)			5.637100 million			mey	hass1238	Hassaniya Arabic	https://en.wikipedia.org/wiki/Hassaniya_Arabic		Arabic alphabet;;Latin alphabet (in Senegal)	Hilalian
Hausa	Harshen/Halshen Hausa		West Africa	Hausa	L1: 58.044460 million	ha	hau	hau	haus1257	Hausa language	https://en.wikipedia.org/wiki/Hausa_language			Hausa–Gwandara
Hebrew	Ivrit		Southern Levant		20 million	he	heb	| iso3comment =	hebr1246	Hebrew language	https://en.wikipedia.org/wiki/Hebrew_language	Israel		South
Hiligaynon	Hiniligaynon, Inilonggo, Binisayâ		Western Visayas, Negros Island Region, Soccsksargen, southwestern portion of Masbate, coastal Palawan, some parts of southern Mindoro, some parts of Romblon and a few parts of Northern Mindanao	Hiligaynon	8.6 million		hil	hil	hili1240	Hiligaynon language	https://en.wikipedia.org/wiki/Hiligaynon_language	Philippines		Central Bisayan
Hindi	हिन्दी,	*Devanagari (official) *Kaithi (historical) *Mahajani (historical) *Laṇḍā (historical) *Devanagari Braille		| region = Hindi Belt	L1: 345.365030 million	hi	hin	hin	hind1269	Hindi	https://en.wikipedia.org/wiki/Hindi	India	*Devanagari (official) *Kaithi (historical) *Mahajani (historical) *Laṇḍā (historical) *Devanagari Braille	Hindustani
Hiri Motu		Latin script	Papua New Guinea		"Very few" (cited 1992)	ho	hmo	hmo	hiri1237	Hiri Motu	https://en.wikipedia.org/wiki/Hiri_Motu		Latin script	Motu
Hmong	/ / / (Vietnam) / /	Hmong writing: incl. Pahawh Hmong, Nyiakeng Puachue Hmong, multiple Latin standards		Hmong	4.5 million		hmn	hmn	firs1234	Hmong language	https://en.wikipedia.org/wiki/Hmong_language	China;;Vietnam;;Laos;;Myanmar;;Thailand	Hmong writing: incl. Pahawh Hmong;;Nyiakeng Puachue Hmong;;multiple Latin standards	Chuanqiandian cluster
Hungarian				Hungarians	14 million	hu	hun		hung1274	Hungarian language	https://en.wikipedia.org/wiki/Hungarian_language	Hungary;;areas of east Austria;;Croatia;;Romania;;northern Serbia;;Slovakia;;Slovenia;;western Ukraine		Ugric
Ibanag		Latin	Northern Luzon	Ibanag	600, 000			ibg	iban1267	Ibanag language	https://en.wikipedia.org/wiki/Ibanag_language	Philippines	Latin	Cagayan Valley
Icelandic	íslenska	Latin (Icelandic alphabet), Icelandic Braille		Icelanders	388, 720	is		isl	icel1247	Icelandic language	https://en.wikipedia.org/wiki/Icelandic_language	Iceland	Latin (Icelandic alphabet);;Icelandic Braille	Insular Scandinavian
Icelandic Sign Language	Íslenskt táknmál				250–300			icl	icel1236	Icelandic Sign Language	https://en.wikipedia.org/wiki/Icelandic_Sign_Language	Iceland		Danish Sign
Igbo	Ásụ̀sụ́ Ìgbò	Latin (Ọnwụ alphabet), Nwagu Aneke script, Neo-Nsibidi, Ndebe script, Igbo Braille, Akagụ Script	Igboland: Abia, Anambra, Ebonyi, Enugu, Imo; native speakers are also found in parts of Delta State and Rivers State	Igbo	33.706370 million	ig	ibo	ibo	nucl1417	Igbo language	https://en.wikipedia.org/wiki/Igbo_language	Nigeria	Latin (Ọnwụ alphabet);;Nwagu Aneke script;;Neo-Nsibidi;;Ndebe script;;Igbo Braille;;Akagụ Script	Igboid
Ilocano	Ilóko, Ilúko, Pagsasaó nga Ilokáno	Latin (Ilocano alphabet),  Ilokano Braille, Historically Kur-itan	Northern Luzon which includes the Ilocos Region, Cordillera Administrative Region and Cagayan Valley, as well as many areas in Central Luzon, and certain parts of Mindanao.	Ilocano	L1: 8.7 million		ilo	ilo	ilok1237	Ilocano language	https://en.wikipedia.org/wiki/Ilocano_language	Philippines	Latin (Ilocano alphabet);;Ilokano Braille;;Historically Kur-itan	Northern Luzon
Indonesian		Latin (EYD), Indonesian Braille		Over 600 Indonesian ethnic groups	L1: 75.161170 million	id	ind	ind	indo1316	Indonesian language	https://en.wikipedia.org/wiki/Indonesian_language	Indonesia	Latin (EYD);;Indonesian Braille	Malay
Inuinnaqtun	ᐃᓄᐃᓐᓇᖅᑐᓐ‎	Latin, Inuktitut syllabics (Gjoa Haven only)			1, 310	iu	iku	ikt	copp1244	Inuinnaqtun	https://en.wikipedia.org/wiki/Inuinnaqtun	Canada (Nunavut;;Northwest Territories)	Latin;;Inuktitut syllabics (Gjoa Haven only)	Inuvialuktun
Inuktitut	ᐃᓄᒃᑎᑐᑦ, inuktitut	Inuktitut syllabics, Inuktitut Braille, Latin	Northwest Territories, Nunatsiavut (Newfoundland and Labrador), Nunavik (Quebec), Nunavut		L1: 37570	iu	iku	iku	east2534	Inuktitut	https://en.wikipedia.org/wiki/Inuktitut	Canada	Inuktitut syllabics;;Inuktitut Braille;;Latin	Inuit (Inuktut)
Inuvialuktun	| states = Canada	Latin script, Syllabics	Northwest Territories, Nunavut	3, 110 Inuvialuit	680, 22% of ethnic population	iu	iku	ikt	west2618	Inuvialuktun	https://en.wikipedia.org/wiki/Inuvialuktun		Latin script;;Syllabics	Inuit
Iraqi Turkmen										Iraqi Turkmens	https://en.wikipedia.org/wiki/Iraqi_Turkmens			
Irish	Standard Irish: Gaeilge	Latin (Irish alphabet), Ogham (historically), Irish Braille	Ireland	Irish people	L1: unknown		gle	gle	iris1253	Irish language	https://en.wikipedia.org/wiki/Irish_language	Republic of Ireland;;Northern Ireland	Latin (Irish alphabet);;Ogham (historically);;Irish Braille	Goidelic
Isan										Isan	https://en.wikipedia.org/wiki/Isan			
Italian		Latin script (Italian alphabet), Italian Braille	Italian peninsula	Italians	L1: 64.821530 million	it	ita	ita	ital1282	Italian language	https://en.wikipedia.org/wiki/Italian_language	Italy;;San Marino;;Vatican City;;Switzerland;;Slovenia (Slovene Istria);;Croatia (Istria)	Latin script (Italian alphabet);;Italian Braille	Florentine dialect
Itonama	sihni pandara	Latin	Beni Department	2, 940 Itonama people (2006)				ito	iton1250	Itonama language	https://en.wikipedia.org/wiki/Itonama_language	Bolivia	Latin	
Ivatan	Chirin nu Ibatan		Batanes Islands	Ivatan	32, 790				ivat1242	Ivatan language	https://en.wikipedia.org/wiki/Ivatan_language	Philippines		Batanic
Jamaican Patois	Patwa, Jamiekan / Jamiekan Kriyuol, Jumiekan / Jumiekan Kryuol / Jumieka Taak / Jumieka taak / Jumiekan languij	Latin (Cassidy/JLU orthography)			3.2 million			jam	jama1262	Jamaican Patois	https://en.wikipedia.org/wiki/Jamaican_Patois	Jamaica	Latin (Cassidy/JLU orthography)	Western
Japanese	(Nihongo)			Japanese (Yamato)	123.427320 million	ja	jpn	jpn	nucl1643	Japanese language	https://en.wikipedia.org/wiki/Japanese_language	Japan		Insular
Javanese	Basa Jawa, ꦧꦱꦗꦮ, باسا جاوا	Latin script (Javanese Latin alphabet), Javanese script, Pegon script	Throughout Indonesia (mainly central and eastern Java)	Javanese,	68.335000 million	jv	jav		java1253	Javanese language	https://en.wikipedia.org/wiki/Javanese_language	Indonesia;;Malaysia;;Netherlands;;Suriname;;New Caledonia	Latin script (Javanese Latin alphabet);;Javanese script;;Pegon script	Malayo-Polynesian
Jola			The Gambia, Senegal (esp. Casamance) and Guinea-Bissau						jola1264	Jola languages	https://en.wikipedia.org/wiki/Jola_languages			Jola–Papel
Jola-Fogny	kujóolay		Casamance		475, 000			dyo	jola1263	Jola-Fonyi language	https://en.wikipedia.org/wiki/Jola-Fonyi_language	Gambia;;Senegal		Jola
Jèrriais	jèrriais				1920				jerr1238	Jèrriais	https://en.wikipedia.org/wiki/Jèrriais	Jersey;;Sark		Anglo-Norman
Kachin	Jinghpaw ga, ဂျိန်ဖော့	Latin alphabet, Mon–Burmese script (unofficial)	Kachin State, Yingjiang County	Jinghpaw	942, 500		kac		jing1260	Jingpo language	https://en.wikipedia.org/wiki/Jingpo_language	Myanmar;;China;;India	Latin alphabet;;Mon–Burmese script (unofficial)	Jingpho–Luish
Kalaallisut	Kalaallisut, Kitaamiisut			Kalaallit	44, 000–52, 000				kala1399	West Greenlandic	https://en.wikipedia.org/wiki/West_Greenlandic	West Greenland;;Denmark		Greenlandic
Kalanga	TjiKalanga/Ikalanga		SouthWest parts of Zimbabwe Central, North Central and NorthEast Botswana	Kalanga people	700, 000 in Zimbabwe,  850, 000 in Botswana				kala1405	Kalanga language	https://en.wikipedia.org/wiki/Kalanga_language			Shona group
Kamtapuri	রংপুরী, কোচ-ৰাজবংশী, দেশী	Bengali-Assamese script	North Bengal, Lower Assam	Rajbongshi, Bengali, Deshi, Nashya Shaikh, Assamese	10.476000 million			rkt	rang1272	Rangpuri language	https://en.wikipedia.org/wiki/Rangpuri_language	Bangladesh;;India	Bengali-Assamese script	Central–Eastern Kamta
Kannada	ಕನ್ನಡ	*Kannada script *Kannada Braille	Karnataka	Kannadigas	L1: 43.697430 million	kn	kan	kan	nucl1305	Kannada	https://en.wikipedia.org/wiki/Kannada	India	*Kannada script *Kannada Braille	Kannadoid
Kanuri	Kànùrí, كَنُرِيِه	Latin, Arabic (Ajami)	Lake Chad	Kanuri, Kanembu	10.608000 million	kr	kau	kau	kanu1279	Kanuri language	https://en.wikipedia.org/wiki/Kanuri_language		Latin;;Arabic (Ajami)	Western
Kapampangan	Amánung Kapangpángan, Amánung Sísuan	Latin (Kapampangan alphabet), Kulitan	Central Luzon (entirety of Pampanga, southern Tarlac, northeastern Bataan, western Bulacan, southwestern Nueva Ecija, southeastern parts of Zambales)	Kapampangan	2.8 million		pam	pam	pamp1243	Kapampangan language	https://en.wikipedia.org/wiki/Kapampangan_language	Philippines	Latin (Kapampangan alphabet);;Kulitan	Central Luzon
Karaim	къарай тили, karaj tili	Cyrillic script, Latin script, Hebrew alphabet		Crimean Karaites	81			kdr	kara1464	Karaim language	https://en.wikipedia.org/wiki/Karaim_language	Crimea;;Lithuania;;Poland	Cyrillic script;;Latin script;;Hebrew alphabet	Kypchak–Cuman
Karakalpak	Qaraqalpaq tili, Қарақалпақ тили, قاراقالپاق ٴتىُلىُ	Karakalpak alphabet (Latin, Cyrillic, Arabic script)	Karakalpakstan	Karakalpaks	871, 970		kaa	kaa	kara1467	Karakalpak language	https://en.wikipedia.org/wiki/Karakalpak_language	Central Asia	Karakalpak alphabet (Latin;;Cyrillic;;Arabic script)	Kipchak–Nogai
Karen			South-eastern Myanmar, Western Thailand	Karen people	4.5 million		kar		kare1337	Karenic languages	https://en.wikipedia.org/wiki/Karenic_languages			Tibeto-Burman
Karenni	; ကရင်နီ	Kayah Li (eky, kyu), Latin (kyu, kxf), Myanmar (kyu, kxf), unwritten (kvy)		Karenni	187, 000				kaya1317	Karenni language	https://en.wikipedia.org/wiki/Karenni_language	Burma;;Thailand	Kayah Li (eky;;kyu);;Latin (kyu;;kxf);;Myanmar (kyu;;unwritten (kvy)	Sgaw–Bghai
Kasem	kasɩm	Latin, [[#Orthography|Goulsse]]	Ghana, Burkina Faso	Kassena	250, 000			xsm	kase1253	Kasena language	https://en.wikipedia.org/wiki/Kasena_language		Latin;;[[#Orthography|Goulsse]]	Northern
Kashmiri		Official: Perso-Arabic script (contemporary), Others: Devanagari (informally used by some sections within the Kashmiri Pandit community after 1990),  Sharada script (ancient/liturgical)	Kashmir (Kashmir Valley and surrounding areas of Jammu and Kashmir, parts of northern Azad Kashmir)	Kashmiris	7.132780 million	ks	kas	kas	kash1277	Kashmiri language	https://en.wikipedia.org/wiki/Kashmiri_language		Official: Perso-Arabic script (contemporary);;Others: Devanagari (informally used by some sections within the Kashmiri Pandit community after 1990);;Sharada script (ancient/liturgical)	Eastern Dardic
Kashubian	kaszëbsczi (jãzëk), kaszëbskô mòwa	Latin (Kashubian alphabet)	Kashubia	Kashubians	87, 600			csb	kash1274	Kashubian language	https://en.wikipedia.org/wiki/Kashubian_language	Poland	Latin (Kashubian alphabet)	Pomeranian
Kassonke	Xaasongaxango			Kassonke, Malinke	2.511 million				xaas1235	Kassonke language	https://en.wikipedia.org/wiki/Kassonke_language	Mali		West Manding
Kazakh	қазақша, қазақ тілі, qazaqşa, qazaq tılı, قازاقشا, قازاق ٴتىلى, قزاقچه, قزاق تلى	Kazakh alphabets (Cyrillic script, Latin script, Perso-Arabic script, Kazakh Braille)	Central Asia, (Turkestan)	Kazakhs	16.444380 million	kk	kaz	kaz	kaza1248	Kazakh language	https://en.wikipedia.org/wiki/Kazakh_language	Kazakhstan;;China;;Mongolia;;Russia;;Kyrgyzstan;;Uzbekistan	Kazakh alphabets (Cyrillic script;;Latin script;;Perso-Arabic script;;Kazakh Braille)	Kipchak–Nogai
Khmer	ភាសាខ្មែរ / ខេមរភាសា, Phéasa Khmêr / Khémôrôphéasa			Khmer	L1: 19.477730 million	km	khm		khme1253	Khmer language	https://en.wikipedia.org/wiki/Khmer_language			Austroasiatic
Khoisan										Khoisan	https://en.wikipedia.org/wiki/Khoisan			
Kichwa				Quechua	454, 750				colo1257	Kichwa language	https://en.wikipedia.org/wiki/Kichwa_language	Ecuador;;Colombia;;Peru		Northern
Kikongo	Kikongo	Latin, Mandombe	| ethnicity = Kongo		L1: 5.955500 million		kon	kon	yomb1244	Kongo language	https://en.wikipedia.org/wiki/Kongo_language	DR Congo (Kongo Central);;Angola;;Republic of the Congo;;Gabon	Latin;;Mandombe	Kongo languages (H.16)
Kimbundu	|states=Angola		Bengo Province, Luanda Province, Icolo e Bengo Province, Cuanza Norte Province, Cuanza Sul Province, Malanje Province	Ambundu	3.728 million		kmb	kmb	kimb1241	Kimbundu	https://en.wikipedia.org/wiki/Kimbundu			Kimbundu languages (H.20)
Kinaray-a	Kinaray-a, Hiniraya, Binisaya nga Karay-a	Latin	Antique, southern and central Iloilo, southern part of Guimaras, southern Aklan, Occidental Mindoro particularly in Ilin Island, western Capiz, some parts of Palawan, and a few parts of Soccsksargen	Karay-a	1.1 million			krj	kina1250	Karay-a language	https://en.wikipedia.org/wiki/Karay-a_language	Philippines	Latin	Western Bisayan
Kinyarwanda	Ikinyarwanda	Latin		Banyarwanda	14.828160 million	rw	kin	kin	kiny1244	Kinyarwanda	https://en.wikipedia.org/wiki/Kinyarwanda	Rwanda;;Uganda	Latin	Rwanda-Rundi
Kiriol	guinensi, kriyol, kiriol, purtuguis 'kriolo'				L1: 345, 100				uppe1455	Guinea-Bissau Creole	https://en.wikipedia.org/wiki/Guinea-Bissau_Creole	Guinea-Bissau;;Cape Verde;;Senegal;;The Gambia		Upper Guinea Creole
Kirundi	Ikirundi	Latin	| ethnicity = Hutu, Tutsi, Twa, Ganwa		13.185850 million	rn	run	run	rund1242	Kirundi	https://en.wikipedia.org/wiki/Kirundi	Burundi	Latin	Rundic
Kom	Kom Rem		India	Kom	15, 108			kmm	komi1270	Kom language (India)	https://en.wikipedia.org/wiki/Kom_language_(India)			Northwestern
Konkani		*Present **Devanagari script (Balbodh, official) **Latin script **Kannada script **Malayalam script **Perso-Arabic script *Past **Nāgarī **Goykanadi **Modi script	Southern and Western India (Konkan region) *Goa *coastal areas of Karnataka, Maharashtra and some parts of Kerala *Gujarat (in the Dang district) *Dadra and Nagar Haveli and Daman and Diu	Konkani	5.937000 million		kok	kok	goan1235	Konkani language	https://en.wikipedia.org/wiki/Konkani_language		*Present **Devanagari script (Balbodh;;official) **Latin script **Kannada script **Malayalam script **Perso-Arabic script *Past **Nāgarī **Goykanadi **Modi script	Marathi–Konkani
Korean	한국어 () (South Korea), 조선어 () (North Korea)		Korea	Koreans, formerly Jaegaseung	81.186970 million	ko	kor	kor	kore1280	Korean language	https://en.wikipedia.org/wiki/Korean_language			| ancestor = Proto-Koreanic
Korean Sign Language					180, 000		sgn	kvk	kore1273	Korean Sign Language	https://en.wikipedia.org/wiki/Korean_Sign_Language	South Korea		Japanese Sign Language?
Kosraean			Kosrae		9, 000		kos	kos	kosr1238	Kosraean language	https://en.wikipedia.org/wiki/Kosraean_language	Federated States of Micronesia		Nuclear Micronesian
Krio			| notice = IPA	Sierra Leone Creoles, Gambian Creoles, Krio Fernandinos, Nigerian Creoles	L1: 856, 050			kri	krio1253	Krio language	https://en.wikipedia.org/wiki/Krio_language	Sierra Leone		West African Pidgin English
Kriol	Bileez Kriol, Kriol			Belizean Creoles	180, 792			bzj	beli1260	Belizean Creole	https://en.wikipedia.org/wiki/Belizean_Creole	Belize		Western
Kunama	Baada, Baazayn, Diila	Latin	western Eritrea, northern Ethiopia	Kunama	179, 430			kun	kuna1268	Kunama language	https://en.wikipedia.org/wiki/Kunama_language	Eritrea;;Ethiopia	Latin	Kunama
Kurdish	Kurdî, کوردی		Kurdistan; Also Anatolia, Caucasus, Khorasan, Kurdish diaspora	Kurds	29.194200 million	ku	kur	kur	kurd1259	Kurdish language	https://en.wikipedia.org/wiki/Kurdish_language	Armenia;;Azerbaijan;;Iran;;Iraq;;Syria;;Turkey		Northwestern
Kuwaiti Arabic	كويتي	Arabic, with addition of 3 or 4 letters.			2.550000 million	afb		afb	kuwa1251	Kuwaiti Arabic	https://en.wikipedia.org/wiki/Kuwaiti_Arabic	Grane;;nowadays State of Kuwait;;Iraq (Bedouin regions)	Arabic;;with addition of 3 or 4 letters.	Gulf
Kuwaiti Persian	عیمی, ʿĪmi			'Ajam of Kuwait	?			none	none	Kuwaiti Persian	https://en.wikipedia.org/wiki/Kuwaiti_Persian	Kuwait		Iranian Persian
Kuwaiti Sign Language					?				kuwa1252	Kuwaiti Sign Language	https://en.wikipedia.org/wiki/Kuwaiti_Sign_Language	Kuwait		|iso3=none
Kven	kvääni, kainu			Kven people	2, 000–8, 000			fkv	kven1236	Kven language	https://en.wikipedia.org/wiki/Kven_language	Norway		Peräpohjola
Kwanyama	Oshikwanyama		Cunene Province (Angola), Ovamboland (Namibia)		1, 003, 783 in Angola (2024); , 250, 000 in Namibia (2006)	kj	kua	kua	kuan1247	Kwanyama	https://en.wikipedia.org/wiki/Kwanyama	Angola;;Namibia		Ovambo
Kyrgyz	Кыргыз тили, kyrgyz tili, قىرعىز تئلى	Kyrgyz alphabets (Cyrillic script, Perso-Arabic script, Kyrgyz Braille) Historically, Old Turkic script	Central Asia	Kyrgyz	5.154500 million	ky	kir	kir	kirg1245	Kyrgyz language	https://en.wikipedia.org/wiki/Kyrgyz_language	Kyrgyzstan;;Afghanistan;;Tajikistan;;Pakistan;;China	Kyrgyz alphabets (Cyrillic script;;Perso-Arabic script;;Kyrgyz Braille) Historically;;Old Turkic script	Kyrgyz–Kipchak
Ladin	lingaz ladin, ladin	Latin script	Ladinia (Trentino-Alto Adige/Südtirol, Veneto)	Ladin people	41, 129			lld	ladi1250	Ladin language	https://en.wikipedia.org/wiki/Ladin_language	Italy	Latin script	Rhaeto-Romance
Lao	ພາສາລາວ, phasa Lao	Lao script in Laos, Thai script in Thailand, Thai and Lao Braille		Lao, Isan	L1: 3.685170 million	lo	lao		laoo1244	Lao language	https://en.wikipedia.org/wiki/Lao_language	Laos;;Thailand (Isan);;Cambodia (Stung Treng;;Preah Vihear;;Ratanakiri);;Vietnam (Điện Biên;;Lai Châu;;Sơn La);;China (Xishuangbanna)	Lao script in Laos;;Thai script in Thailand;;Thai;;Lao Braille	Lao–Phutai
Latin	lingua Latina, Latinum	Latin (Latin alphabet)				la	lat	lat	impe1234	Latin	https://en.wikipedia.org/wiki/Latin		Latin (Latin alphabet)	Latino-Faliscan
Latvian	latviešu valoda	Latin (Latvian alphabet), Latvian Braille	Baltic	Latvians	1.5 million	lv	lav	lav	latv1249	Latvian language	https://en.wikipedia.org/wiki/Latvian_language	Latvia	Latin (Latvian alphabet);;Latvian Braille	East Baltic
Leco	Burua		La Paz Department: east of Lake Titicaca	2, 800 Leco (2001)	20			lec	leco1242	Leco language	https://en.wikipedia.org/wiki/Leco_language	Bolivia		
Lemko										Lemkos	https://en.wikipedia.org/wiki/Lemkos			
Limburgish	Limburgs, Lèmburgs		Limburg Limburg	| script = Latin	800, 000	li	lim	lim	limb1263	Limburgish	https://en.wikipedia.org/wiki/Limburgish	Netherlands *Limburg Belgium *Limburg *Liège Germany *North Rhine-Westphalia		Low Franconian
Limonese Creole	Mekatelyu				55, 100				limo1249	Limonese Creole	https://en.wikipedia.org/wiki/Limonese_Creole	Costa Rica		Jamaican Creole
Lingala	Lingála	African Reference Alphabet (Latin), Mandombe script	Congo River		L1: 20.522160 million	ln	lin	lin	ling1269	Lingala	https://en.wikipedia.org/wiki/Lingala	Democratic Republic of the Congo;;Republic of the Congo	African Reference Alphabet (Latin);;Mandombe script	Bangi
Lithuanian	lietuvių kalba	Latin (Lithuanian alphabet), Lithuanian Braille	Baltic	Lithuanians	4.0 million	lt	lit		lith1251	Lithuanian language	https://en.wikipedia.org/wiki/Lithuanian_language	Lithuania	Latin (Lithuanian alphabet);;Lithuanian Braille	East Baltic
Low German	Plattdütsch, Plattdüütsch, Plattdütsk, Plattdüütsk, Plattduitsk (South-Westphalian), Plattduitsch (Eastphalian), Plattdietsch (Low Prussian); Neddersassisch; Nedderdüütsch						nds	nds	lowg1239	Low German	https://en.wikipedia.org/wiki/Low_German			North Sea Germanic
Lower Sorbian	dolnoserbšćina, dolnoserbski	Latin (Sorbian alphabet)	Brandenburg	Sorbs	5, 000		dsb	dsb	lowe1385	Lower Sorbian language	https://en.wikipedia.org/wiki/Lower_Sorbian_language	Germany	Latin (Sorbian alphabet)	Sorbian
Lule Sami	julevsámegiella	Latin		Lule Sámi people	650		smj	smj	lule1254	Lule Sámi	https://en.wikipedia.org/wiki/Lule_Sámi	Norway;;Sweden	Latin	Lule–Pite
Luo			southwestern Ethiopia, South Sudan, Sudan, northeastern Congo, northern Uganda, southwestern Kenya, northern Tanzania	Luo peoples					lwoo1234	Luo languages	https://en.wikipedia.org/wiki/Luo_languages			Western Nilotic
Luri	لری	Persian alphabet	Southern Zagros Mountains	Lurs	4–5 million				luri1252	Luri language	https://en.wikipedia.org/wiki/Luri_language	Iran;;a few villages in eastern Iraq	Persian alphabet	Luri–Dezfuli?
Luxembourgish	Lëtzebuergesch		Western Europe	Luxembourgers	400, 000	lb	ltz	ltz	luxe1243	Luxembourgish	https://en.wikipedia.org/wiki/Luxembourgish	Luxembourg;;Saarland;;north-west Rhineland-Palatinate;;Germany;;Arelerland;;Saint-Vith district;;Belgium;;Moselle department;;France		Moselle Franconian
Macedonian	македонски, '		Southeastern Europe	Macedonians	1.731530 million	mk		mkd	mace1250	Macedonian language	https://en.wikipedia.org/wiki/Macedonian_language	North Macedonia;;Albania;;Bulgaria;;Greece;;Romania;;Serbia		Eastern South Slavic
Machajuyai-Kallawaya	Machaj juyay		La Paz Department: Charazani; highlands north of Lake Titicaca	Kallawaya	L1: none			caw	call1235	Kallawaya language	https://en.wikipedia.org/wiki/Kallawaya_language	Bolivia		mixed Puquina–Quechua
Machineri	Piro			Yine people, Manchineri	5, 080			pib	yine1238	Yine language	https://en.wikipedia.org/wiki/Yine_language	Peru		Piro
Maguindanao										Maguindanao	https://en.wikipedia.org/wiki/Maguindanao			
Maithili	𑂧𑂶𑂟𑂱𑂪𑂲 •	*Devanagari (Official) *Tirhuta script (Historical and Original Script of Maithili language) *Newar script (Historical) *Kaithi script (Historical)	Mithila	Maithil	16.720000 million		mai	mai	mait1250	Maithili language	https://en.wikipedia.org/wiki/Maithili_language	India;;Nepal	*Devanagari (Official) *Tirhuta script (Historical;;Original Script of Maithili language) *Newar script (Historical) *Kaithi script (Historical)	Bihari
